formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C11H14N2O	[M + H]+	C11H15N2O+	106,344	106,344	0,000	31	0,782	1,810	3,201	1,210		191,118	24	622706108158023206	622705974397470382	622705974397470382
1	C16H12O4	[M + H]+	C16H13O4+	131,650	131,650	0,000	36	0,843	-0,127	1,185	0,097		269,081	165	622706807302384172	622705974472967862	622705974472967862
1	C13H18O3	[M + H]+	C13H19O3+	179,759	179,759	0,000	34	0,836	-1,901	2,795	-1,227		223,133	101	622706308410878129	622705974561048253	622705974561048253
1	C21H37N	[M + H]+	C21H38N+	108,191	108,191	0,000	27	0,864	0,349	1,113	-0,367		304,300	180	622706756907812831	622705974670100163	622705974670100163
1	C17H22N2O9	[M + H]+	C17H23N2O9+	65,702	65,702	0,000	28	0,807	-2,530	4,916	8,931		399,143	188	622706868522447019	622705974795929293	622705974795929293
1	C23H34O5	[M + H]+	C23H35O5+	128,833	128,833	0,000	43	0,857	0,155	0,607	0,400		391,248	97	622706330636495390	622705974913369811	622705974913369811
1	C9H19NO4	[M + H]+	C9H20NO4+	30,117	30,117	0,000	4	0,887	12,266	12,266	6,438		206,140	81	622706239225831079	622705974980478682	622705974980478682
1	C15H21N3O2	[M + H]+	C15H22N3O2+	73,000	73,000	0,000	26	0,795	-0,071	4,156	0,307		276,171	80	622706246918185019	622705975060170467	622705975060170467
1	C21H35NO	[M + H]+	C21H36NO+	199,470	199,470	0,000	38	0,851	-0,883	1,047	-1,281		318,279	133	622706707993834518	622705975148250866	622705975148250866
1	C20H24O9	[M + H]+	C20H25O9+	284,248	284,248	0,000	56	0,962	-1,582	1,582	1,045		409,150	123	622706325968234922	622705975240525566	622705975240525566
1	C20H24O10	[M + H]+	C20H25O10+	243,229	243,229	0,000	55	0,946	-2,788	2,788	0,425		425,144	123	622706397674057306	622705975311828742	622705975311828742
1	C18H26O11	[M + Na]+	C18H26NaO11+	192,952	192,952	0,000	50	0,906	3,833	3,954	5,701		441,139	100	622706231575419977	622705975378937612	622705975378937612
1	C23H34O5	[M + Na]+	C23H34NaO5+	33,269	33,269	0,000	14	0,715	-1,721	1,831	0,353		413,230	121	622706244888141769	622705975454435090	622705975454435090
1	C43H62O14	[M + H]+	C43H63O14+	79,657	79,657	0,000	24	0,681	-4,288	4,925	-3,683		803,418	152	622706989083522953	622705975542515486	622705975542515486
1	C21H35NO	[M + H]+	C21H36NO+	155,672	155,672	0,000	38	0,919	0,558	0,558	0,470		318,279	98	622706288223692567	622705975626401574	622705975626401574
1	C21H33NO	[M + H]+	C21H34NO+	197,907	197,907	0,000	43	0,906	1,384	1,466	0,076		316,264	126	622706266174235546	622705975760619308	622705975760619308
1	C21H35NO	[M + H]+	C21H36NO+	168,337	168,337	0,000	37	0,876	0,012	1,590	1,669		318,280	131	622706700523779030	622705975836116787	622705975836116787
1	C21H33NO	[M + H]+	C21H34NO+	173,326	173,326	0,000	44	0,906	0,475	2,299	0,510		316,264	134	622706743498622322	622705975932585788	622705975932585788
1	C22H37NO	[M + H]+	C22H38NO+	160,730	160,730	0,000	34	0,866	-0,307	0,671	0,141		332,295	130	622706260323181149	622705976029054788	622705976029054788
1	C22H35NO	[M + H]+	C22H36NO+	159,705	159,705	0,000	41	0,891	-0,338	1,564	0,062		330,279	138	622706756505159598	622705976117135181	622705976117135181
1	C22H37NO	[M + H]+	C22H38NO+	157,008	157,008	0,000	33	0,861	0,698	0,850	0,416		332,295	130	622706620555178002	622705976196826967	622705976196826967
1	C30H42N4O2	[M + H]+	C30H43N4O2+	61,329	61,329	0,000	36	0,831	-3,233	3,233	-0,547		491,338	70	622706121512687409	622705976276518751	622705976276518751
1	C20H18N4O8	[M + Na]+	C20H18N4NaO8+	92,264	92,264	0,000	44	0,903	-1,038	2,959	2,516		465,103	90	622706179498940934	622705976335239013	622705976335239013
1	C16H14O4	[M + H]+	C16H15O4+	43,558	43,558	0,000	14	0,671	-0,766	4,897	0,192		271,097	194	622706813841304259	622705976406542191	622705976406542191
1	C27H35NO12	[M + H]+	C27H36NO12+	108,854	108,854	0,000	39	0,891	-1,944	2,161	-0,155		566,223	92	622706232477195402	622705976498816894	622705976498816894
1	C16H19NO2	[M + H]+	C16H20NO2+	103,726	103,726	0,000	31	0,825	-0,811	1,439	-0,118		258,149	93	622706239863365347	622705976557537156	622705976557537156
1	C10H10O4	[M + H]+	C10H11O4+	78,936	78,936	0,000	13	0,736	1,366	4,813	-0,429		195,065	100	622706235522260324	622705976620451725	622705976620451725
1	C21H37NO	[M + H]+	C21H38NO+	158,662	158,662	0,000	33	0,866	-0,124	1,036	-0,243		320,295	122	622706329206237678	622705976679171989	622705976679171989
1	C16H12O5	[M + H]+	C16H13O5+	98,782	98,782	0,000	36	0,861	-0,464	1,441	1,293		285,076	109	622706103871444350	622705976746280860	622705976746280860
1	C20H18N4O8	[M + Na]+	C20H18N4NaO8+	125,269	125,269	0,000	49	0,957	4,377	4,415	2,717		465,103	89	622706339905907467	622705976813389733	622705976813389733
1	C16H12O7	[M + H]+	C16H13O7+	132,404	132,404	0,000	39	0,861	-0,202	0,854	0,221		317,066	138	622706851741036276	622705976884692909	622705976884692909
1	C15H10O6	[M + H]+	C15H11O6+	136,431	136,431	0,000	44	0,897	-2,281	3,064	-0,041		287,055	138	622706787677234909	622705976951801783	622705976951801783
1	C15H24N2O	[M + H]+	C15H25N2O+	163,338	163,338	0,000	42	0,862	0,282	1,093	-0,255		249,196	54	622706068450545142	622705977048270784	622705977048270784
1	C25H31N3O2	[M + H]+	C25H32N3O2+	51,658	51,658	0,000	14	0,824	-0,651	1,013	-2,215		406,248	151	622706795096959175	622705977144739783	622705977144739783
1	C16H23NO6	[M + H]+	C16H24NO6+	108,256	108,256	0,000	34	0,851	2,707	2,819	-1,720		326,159	62	622706096367834025	622705977241208781	622705977241208781
1	C21H20O12	[M + H]+	C21H21O12+	122,080	122,080	0,000	40	0,839	0,413	2,953	-0,087		465,103	90	622706167910078893	622705977408980949	622705977408980949
1	C31H43N5O2	[M + H]+	C31H44N5O2+	105,784	105,784	0,000	49	0,884	-1,334	2,762	-3,143		518,347	118	622706364018961718	622705977492867036	622705977492867036
1	C12H16N2O	[M + H]+	C12H17N2O+	94,713	94,713	0,000	29	0,755	-0,267	2,121	0,621		205,134	32	622706076247756911	622705977572558819	622705977572558819
1	C19H37NO3	[M + H]+	C19H38NO3+	100,746	100,746	0,000	36	0,809	0,542	1,391	-0,094		328,285	442	622706845214699109	622705977660639210	622705977660639210
1	C11H14N2	[M + H]+	C11H15N2+	67,975	67,975	0,000	19	0,852	2,049	2,630	1,747		175,123	72	622706071864708865	622705977723553777	622705977723553777
1	C9H6O3	[M + H]+	C9H7O3+	29,236	29,236	0,000	3	0,837	-1,614	1,614	0,346		163,039	97	622706310369618222	622705977790662648	622705977790662648
1	C13H9NO	[M + H]+	C13H10NO+	83,138	83,138	0,000	26	0,812	0,233	1,570	0,462		196,076	159	622706854219870037	622705977870354431	622705977870354431
1	C19H27NO3S	[M + H]+	C19H28NO3S+	61,144	61,144	0,000	26	0,711	0,667	3,627	-10,144		350,175	97	622706258364441005	622705977966823443	622705977966823443
1	C18H16O7	[M + H]+	C18H17O7+	217,541	217,541	0,000	48	0,922	-0,358	0,469	-1,506		345,096	200	622706815326087934	622705978042320921	622705978042320921
1	C7H6O3	[M + H]+	C7H7O3+	21,896	21,896	0,000	1	0,378	-2,993	2,993	1,649		139,039	79	622706074024775606	622705978105235487	622705978105235487
1	C13H15NO2	[M + H]+	C13H16NO2+	111,976	111,976	0,000	32	0,741	-3,417	5,266	-1,056		218,117	53	622706077455716545	622705978172344358	622705978172344358
1	C11H16N2O2	[M + H]+	C11H17N2O2+	136,164	136,164	0,000	40	0,861	-0,617	4,568	-2,208		209,128	81	622706123660171167	622705978256230449	622705978256230449
1	C37H42N2O6	[M + H]+	C37H43N2O6+	15,804	15,804	0,000	24	0,824	-0,015	1,027	-0,149		611,311	85	622706376249552292	622705978319145018	622705978319145018
1	C18H35NO3	[M + H]+	C18H36NO3+	111,819	111,819	0,000	38	0,830	0,015	0,639	-0,692		314,269	121	622706278656484954	622705978386253890	622705978386253890
1	C27H46N6O7	[M + K]+	C27H46KN6O7+	97,914	97,914	0,000	43	0,842	-1,235	4,698	-5,188		605,303	1337	622706936566641461	622705978449168456	622705978449168456
1	C10H10N3O5S	[M + H]+	C10H11N3O5S+	108,907	108,907	0,000	30	0,692	-2,954	4,720	-10,799		285,038	196	622706805213620670	622705978461751373	622705978461751373
