Id	InChI	Score
24	InChI=1S/C23H23N3O3/c1-25-14-18(19-13-24-15-26(19)2)20(22(25)27)21(16-9-5-3-6-10-16)29-23(28)17-11-7-4-8-12-17/h3-13,15,18,20-21H,14H2,1-2H3	0.26877513675529
25	InChI=1S/C11H14N2O/c1-12(2)7-9-8-13(14)11-6-4-3-5-10(9)11/h3-6,8,14H,7H2,1-2H3	0.46328382528282
26	InChI=1S/C13H18O3/c1-9(14)4-5-11-12(2)6-10(15)7-13(11,3)16-8-12/h4-5,11H,6-8H2,1-3H3	0.36933985451703
27	InChI=1S/C21H37N/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-18-21-19-16-17-20(2)22-21/h16-17,19H,3-15,18H2,1-2H3	0.17986760928687
28	InChI=1S/C22H22O7/c1-24-18-6-12(7-19(25-2)21(18)26-3)20-13-8-17-16(28-10-29-17)5-11(13)4-14-15(20)9-27-22(14)23/h5-8,14-15,20H,4,9-10H2,1-3H3	0.29317025755799
29	InChI=1S/C23H34O5/c1-14(2)22(26)28-20-7-5-6-16-9-8-15(3)19(23(16,20)4)11-10-18-12-17(24)13-21(25)27-18/h6,8-9,14-15,17-20,24H,5,7,10-13H2,1-4H3	0.39731859282127
30	InChI=1S/C10H15N5/c1-6(2)7(3)15-5-14-9(11)8-10(15)13-4-12-8/h4-7H,11H2,1-3H3	0.61005199183657
31	InChI=1S/C31H39N5O5S/c1-17(2)30(29(39)36-23(10-12-42-4)28(38)35-11-6-9-25(35)31(36,40)41-30)33-27(37)19-13-21-20-7-5-8-22-26(20)18(15-32-22)14-24(21)34(3)16-19/h5,7-8,13,15,17,19,23-25,32,40H,6,9-12,14,16H2,1-4H3,(H,33,37)	0.15103369396756
32	InChI=1S/C15H21N3O2/c1-15-7-8-17(3)13(15)18(4)12-6-5-10(9-11(12)15)20-14(19)16-2/h5-6,9,13H,7-8H2,1-4H3,(H,16,19)	0.29233183465614
33	InChI=1S/C21H35NO/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,13,15-19,23H,5-12,22H2,1-3H3	0.43366257023272
34	InChI=1S/C20H24O9/c1-3-5-6-13-15(20(28)29-19(13)27)10-11(4-2)9-14(18(25)26)12(17(23)24)7-8-16(21)22/h5-6,9,11-12H,3-4,7-8,10H2,1-2H3,(H,21,22)(H,23,24)(H,25,26)	0.39836163612709
35	InChI=1S/C21H28O7S/c1-12-6-7-15(28-16(23)8-9-29(5)25)17-18(27-14(3)22)21(11-20(12,17)4)13(2)10-26-19(21)24/h8-9,12,15,17-18H,2,6-7,10-11H2,1,3-5H3	0.3892011142132
36	InChI=1S/C24H24O8/c1-17(25)32-20(15-30-23(27)12-9-18-6-4-3-5-7-18)16-31-24(28)13-10-19-8-11-21(26)22(14-19)29-2/h3-14,20,26H,15-16H2,1-2H3	0.28502095942405
37	InChI=1S/C21H32O8/c1-10-7-21(29-17-14(25)13(24)12(23)11(8-22)28-17)9-18(2,3)16(26)15(21)19(4,27)20(10)5-6-20/h7,11-15,17,22-25,27H,5-6,8-9H2,1-4H3	0.34570606954732
38	InChI=1S/C43H62O14/c1-22(52-24(3)45)28-15-17-43(50)29-13-12-26-18-27(14-16-41(26,4)30(29)19-33(42(28,43)5)56-39(49)25-10-8-7-9-11-25)54-34-20-31(51-6)38(23(2)53-34)57-40-37(48)36(47)35(46)32(21-44)55-40/h7-12,22-23,27-38,40,44,46-48,50H,13-21H2,1-6H3	0.05463620604778
39	InChI=1S/C21H35NO/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,13,15-19,23H,5-12,22H2,1-3H3	0.47650019302885
40	InChI=1S/C21H33NO/c1-13(23)17-6-7-18-16-5-4-14-12-15(22)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19H,5-12,22H2,1-3H3	0.30820906881399
41	InChI=1S/C21H35NO/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,13,15-19,23H,5-12,22H2,1-3H3	0.52201527712808
42	InChI=1S/C21H33NO/c1-13(23)17-6-7-18-16-5-4-14-12-15(22)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19H,5-12,22H2,1-3H3	0.2768822576617
43	InChI=1S/C22H37NO/c1-14(23-4)18-7-8-19-17-6-5-15-13-16(24)9-11-21(15,2)20(17)10-12-22(18,19)3/h5,14,16-20,23-24H,6-13H2,1-4H3	0.38961863923576
44	InChI=1S/C22H35NO/c1-5-17-20(24)13-19-16-7-6-14-12-15(23-4)8-10-21(14,2)18(16)9-11-22(17,19)3/h6,15-19,23H,5,7-13H2,1-4H3	0.34512715436684
45	InChI=1S/C22H37NO/c1-14(23-4)18-7-8-19-17-6-5-15-13-16(24)9-11-21(15,2)20(17)10-12-22(18,19)3/h5,14,16-20,23-24H,6-13H2,1-4H3	0.37024572423867
46	InChI=1S/C30H42N4O2/c1-31-17-11-21-33(29(35)23-27(31)25-13-5-3-6-14-25)19-9-10-20-34-22-12-18-32(2)28(24-30(34)36)26-15-7-4-8-16-26/h3-8,13-16,27-28H,9-12,17-24H2,1-2H3	0.20269220495211
47	InChI=1S/C21H20O12/c22-6-12(27)19-16(29)17(30)21(32-19)33-20-15(28)14-11(26)4-8(23)5-13(14)31-18(20)7-1-2-9(24)10(25)3-7/h1-5,12,16-17,19,21-27,29-30H,6H2	0.41997806180104
48	InChI=1S/C16H14O4/c1-10(2)5-7-19-16-14-12(6-8-18-14)9-11-3-4-13(17)20-15(11)16/h3-6,8-9H,7H2,1-2H3	0.4566967157512
49	InChI=1S/C27H35NO12/c1-4-15-17(8-14-7-16-13(9-28(14)12(2)30)5-6-19(31)21(16)32)18(25(36)37-3)11-38-26(15)40-27-24(35)23(34)22(33)20(10-29)39-27/h4-6,11,14-15,17,20,22-24,26-27,29,31-35H,1,7-10H2,2-3H3	0.25897636804486
50	InChI=1S/C16H19NO2/c1-10-4-2-6-12-14(10)16(18)15-11-5-3-8-17(11)9-7-13(15)19-12/h2,4,6,11,13,15H,3,5,7-9H2,1H3	0.32891276644613
51	InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)	0.35828970279212
52	InChI=1S/C21H37NO/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h13-19,23H,4-12,22H2,1-3H3	0.38663642956257
53	InChI=1S/C20H12O2/c21-12-6-4-11-8-16-18-13(15(11)9-12)7-5-10-2-1-3-14(17(10)18)19-20(16)22-19/h1-9,19-21H	0.45778849557682
54	InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2	0.41288164883188
55	InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3	0.36961581821431
56	InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)12-14(19)13-10(18)5-9(17)6-11(13)21-15(12)20/h1-6,16-18,20H	0.45337453000602
57	InChI=1S/C15H24N2O/c1-2-3-7-16-9-12-8-13(11-16)14-5-4-6-15(18)17(14)10-12/h2,12-14H,1,3-11H2	0.22110615442456
58	InChI=1S/C25H31N3O2/c29-24(16-14-22-10-3-1-4-11-22)27-20-8-7-18-26-19-9-21-28-25(30)17-15-23-12-5-2-6-13-23/h1-6,10-17,26H,7-9,18-21H2,(H,27,29)(H,28,30)	0.52660365241571
59	InChI=1S/C12H23NO9/c14-1-4-8(17)10(19)7(13-4)5(15)2-21-12-11(20)9(18)6(16)3-22-12/h4-20H,1-3H2	0.27753473557026
60	InChI=1S/C21H20O12/c1-6-14(25)17(28)19(30)21(31-6)32-8-4-9(22)13-12(5-8)33-20(18(29)16(13)27)7-2-10(23)15(26)11(24)3-7/h2-6,14,17,19,21-26,28-30H,1H3	0.36842475501732
61	InChI=1S/C30H47NO6/c1-17-27(31)24(34-4)15-26(36-17)37-20-7-10-28(2)19(14-20)5-6-23-22(28)8-11-29(3)21(9-12-30(23,29)33)18-13-25(32)35-16-18/h13,17,19-24,26-27,33H,5-12,14-16,31H2,1-4H3	0.29223590729894
62	InChI=1S/C12H16N2O/c1-14(2)8-9-7-13-12-5-4-10(15-3)6-11(9)12/h4-7,13H,8H2,1-3H3	0.2082581600806
63	InChI=1S/C15H33N7O/c16-12(8-7-11-22-15(19)20)13(23)9-5-3-1-2-4-6-10-21-14(17)18/h12H,1-11,16H2,(H4,17,18,21)(H4,19,20,22)	0.32158916288342
64	InChI=1S/C11H14N2/c1-12-7-6-9-8-13-11-5-3-2-4-10(9)11/h2-5,8,12-13H,6-7H2,1H3	0.45314734942297
65	InChI=1S/C9H6O3/c10-7-3-1-2-6-4-5-12-9(11)8(6)7/h1-5,10H	0.43897934259759
66	InChI=1S/C13H9NO/c15-13-12-6-5-9-3-1-2-4-10(9)11(12)7-8-14-13/h1-8H,(H,14,15)	0.54457127308434
67	InChI=1S/C22H23NO3/c1-25-14-5-6-15-16-8-13-4-3-7-23(13)12-20(16)19-11-22(26-2)21(24)10-18(19)17(15)9-14/h5-6,9-11,13,24H,3-4,7-8,12H2,1-2H3	0.24152507861294
68	InChI=1S/C18H16O7/c1-22-11-5-4-9(6-13(11)23-2)12-7-10(19)16-14(25-12)8-15(24-3)17(20)18(16)21/h4-8,20-21H,1-3H3	0.28338702909676
69	InChI=1S/C7H6O3/c8-4-5-3-6(9)1-2-7(5)10/h1-3,8H,4H2	0.34548620506895
70	InChI=1S/C13H15NO2/c1-9(8-15)2-3-10-4-5-11-7-13(16)14-12(11)6-10/h2,4-6,15H,3,7-8H2,1H3,(H,14,16)	0.41564560082603
71	InChI=1S/C12H16O3/c1-7-4-9-5-11(14-3)8(2)12(13)10(9)6-15-7/h5,7,13H,4,6H2,1-3H3	0.44564350133385
72	InChI=1S/C37H42N2O6/c1-39-13-11-25-19-35(43-3)37(45-5)21-27(25)31(39)17-23-7-9-33(41)29(15-23)28-14-22(6-8-32(28)40)16-30-26-20-36(44-4)34(42-2)18-24(26)10-12-38-30/h6-9,14-15,18-21,30-31,38,40-41H,10-13,16-17H2,1-5H3	0.35351352872087
73	InChI=1S/C18H35NO3/c1-2-3-6-10-16(21)11-8-5-4-7-9-15-12-13-18(22)17(14-20)19-15/h15,17-20,22H,2-14H2,1H3	0.27363102880842
74	InChI=1S/C33H48O10/c1-16-20(10-11-39-16)21-8-9-23-22(31(21)37)7-6-19-12-26(25(35)15-33(19,23)4)42-28-13-24(34)32(18(3)41-28)43-29-14-27(38-5)30(36)17(2)40-29/h6,10-11,17-18,21-30,32,34-36H,7-9,12-15H2,1-5H3	0.16670772979173
75	InChI=1S/C16H12O3S/c1-20-12-3-2-4-13-14(9-12)19-16(18)15(13)10-5-7-11(17)8-6-10/h2-9,17H,1H3	0.35012775893395
76	InChI=1S/C27H30O16/c1-8-17(31)20(34)23(37)26(40-8)39-7-15-18(32)21(35)24(38)27(43-15)41-10-5-13(30)16-14(6-10)42-25(22(36)19(16)33)9-2-3-11(28)12(29)4-9/h2-6,8,15,17-18,20-21,23-24,26-32,34-38H,7H2,1H3	0.38508445764806
77	InChI=1S/C18H12O5/c1-2-19-13-5-14-11(3-9(1)13)18-12(7-20-14)10-4-16-17(22-8-21-16)6-15(10)23-18/h1-6,12,18H,7-8H2	0.34811966501913
78	InChI=1S/C15H18O3/c1-9(14(17)18)11-4-5-12-6-7-13(16)10(2)15(12,3)8-11/h5-7,10-11H,1,4,8H2,2-3H3,(H,17,18)	0.40268946209257
79	InChI=1S/C17H21NO4/c1-18-13-7-11(8-14(18)16-15(13)22-16)21-17(20)12(9-19)10-5-3-2-4-6-10/h2-6,11-16,19H,7-9H2,1H3	0.29463378620459
80	InChI=1S/C10H8O4/c11-5-7-4-6-2-1-3-8(12)9(6)10(13)14-7/h1-4,11-12H,5H2	0.43377516290795
81	InChI=1S/C15H26N2/c1-2-9-16-11-13-6-3-5-12-7-4-10-17(15(12)13)14(16)8-1/h12-15H,1-11H2	0.45805507610207
82	InChI=1S/C28H43NO12/c1-13(2)5-6-14-9-16(25(29)36)10-15(7-8-28(3,4)37)23(14)40-27-24(19(32)17(31)12-38-27)41-26-22(35)21(34)20(33)18(11-30)39-26/h5,9-10,17-22,24,26-27,30-35,37H,6-8,11-12H2,1-4H3,(H2,29,36)	0.13861846322294
83	InChI=1S/C9H10O5/c1-14-7-4-5(2-3-6(7)10)8(11)9(12)13/h2-4,8,10-11H,1H3,(H,12,13)	0.24385959453481
84	InChI=1S/C20H24N2O/c23-12-14-5-3-4-13-11-22-9-8-16-15-6-1-2-7-18(15)21-20(16)19(22)10-17(13)14/h1-2,5-7,13,17,19,21,23H,3-4,8-12H2	0.38944335631596
85	InChI=1S/C10H13N5/c1-7(2)3-4-15-6-14-8-9(11)12-5-13-10(8)15/h3,5-6H,4H2,1-2H3,(H2,11,12,13)	0.40044845367206
86	InChI=1S/C7H7NO2/c9-7-8-5-3-1-2-4-6(5)10-7/h1-6H,(H,8,9)	0.46001925625957
87	InChI=1S/C11H14O3/c1-7-3-4-9-8(5-12)6-14-11(13-2)10(7)9/h5,11H,3-4,6H2,1-2H3	0.36109429382176
88	InChI=1S/C20H27NO6/c1-21-8-7-19-9-13(23)16(26-3)18(24)20(19,21)10-12(22)11-5-6-14(25-2)17(27-4)15(11)19/h5-6,12-13,16,22-23H,7-10H2,1-4H3	0.26081710678042
89	InChI=1S/C18H16O7/c1-23-12-7-9(5-6-19)8-13-14(12)15(20)10-3-4-11(18(22)24-2)16(21)17(10)25-13/h3-4,7-8,19,21H,5-6H2,1-2H3	0.33262456917718
90	InChI=1S/C13H18O2/c1-8-12(15)5-4-11-6-10(9(2)14)7-13(8,11)3/h4,7-8,12,15H,5-6H2,1-3H3	0.3920976367159
91	InChI=1S/C28H32O7/c1-14(20-19(33-8)13-18(32-7)16-9-11-27(3,4)34-25(16)20)21-23(30)17-10-12-28(5,6)35-26(17)22(15(2)29)24(21)31/h9-14,30-31H,1-8H3	0.12394877179876
92	InChI=1S/C30H40N2O6/c1-22(20-28(34)31-19-11-7-10-14-27(33)32-21-29(35)36)15-16-23(2)30(38-5)24(3)26(37-4)18-17-25-12-8-6-9-13-25/h6,8-20,23-24,26,30H,7,21H2,1-5H3,(H,31,34)(H,32,33)(H,35,36)	0.18322869242048
93	InChI=1S/C32H48N6O8/c1-16(2)23(15-39)37(9)24(41)14-36(8)31(45)22-13-11-19(6)38(22)32(46)26(17(3)4)34-30(44)27(20(7)40)35-29(43)21-12-10-18(5)28(42)25(21)33/h10,12,15-16,19-20,22-23,26-27,40,42H,3,11,13-14,33H2,1-2,4-9H3,(H,34,44)(H,35,43)	0.27999647852355
94	InChI=1S/C41H50N4O3/c1-6-23-21-43(3)32-20-28-25-10-8-9-11-30(25)42-36(28)27(19-26(23)35(32)38(46)47-5)24-12-13-31-29(18-24)41-16-17-45-22-33-37(48-33)40(7-2,39(41)45)15-14-34(41)44(31)4/h6,8-13,18,26-27,32-35,37,39,42H,7,14-17,19-22H2,1-5H3	0.23082419962843
95	InChI=1S/C40H62O8S/c1-25-9-7-17-37(3,43)33-21-27(15-19-39(5)31(47-39)13-11-25)29(35(41)45-33)23-49-24-30-28-16-20-40(6)32(48-40)14-12-26(2)10-8-18-38(4,44)34(22-28)46-36(30)42/h9-10,27-34,43-44H,7-8,11-24H2,1-6H3	0.30636442800292
96	InChI=1S/C41H64O11/c1-28-18-15-13-11-9-7-5-6-8-10-12-14-16-19-34(44)24-38-30(3)37(47)27-41(50,52-38)26-36(46)23-33(43)21-17-20-32(42)22-35(45)25-39(48)51-31(4)29(2)40(28)49/h5-16,18-19,28-38,40,42-47,49-50H,17,20-27H2,1-4H3	0.31198956689081
